Compound	Object ID	Chemical Formula	InChI-Key	ChEBI
11-oxocucurbitadienol	CPD-20418	C30H48O2	InChIKey=GBFPAYOKITZRAZ-XALYZVBKSA-N	138973
methyl geranate	CPD-19248	C11H18O2	InChIKey=ACOBBFVLNKYODD-CSKARUKUSA-N	166666
pseudotropine	PSEUDOTROPINE	C8H16NO	InChIKey=CYHOMWAPJJPNMW-RNLVFQAGSA-O	57493
fenclorim	CPD-21168	C10H6N2Cl2	InChIKey=NRFQZTCQAYEXEE-UHFFFAOYSA-N	81993
xanthate	XANTHATE	C3H5OS2	InChIKey=ZOOODBUHSVUZEM-UHFFFAOYSA-M	
juvenile hormone II	METHYL-EPOXYTRIDECADIENOATE	C17H28O3	InChIKey=CPVQJXZBSGXTGJ-TZDLBHCHSA-N	15581
juvenile hormone B3	CPD-17899	C16H26O4	InChIKey=ZKZPJBPCLACUKB-ORLMQAGASA-N	83642
dipropylsulfanylphosphinate	CPD-22351	C6H14O2PS2	InChIKey=WRKUPFMPTHCAHW-UHFFFAOYSA-M	
siccanin	CPD-23671	C22H30O3	InChIKey=UGGAILYEBCSZIV-ITJSPEIASA-N	32128
juvenile hormone III	CPD-8838	C16H26O3	InChIKey=QVJMXSGZTCGLHZ-HONBPKQLSA-N	27493
dibenzo[1,4]dioxin-2,3-dione	CPD-324	C12H6O4	InChIKey=OEZWQQMRIGCJRU-UHFFFAOYSA-N	17036
10&beta;-hydroxytaxa-4(20),11-dien-5&alpha;-yl acetate	10-BETA-HYDROXYTAXA-42011-DIEN-5-ALPH	C22H34O3	InChIKey=BMPKIAPYMZISRD-PQTWGXLHSA-N	50436
(25S)-5&beta;-spirostan-3&beta;-ol 3-O-&beta;-D- glucoside	25S-5-BETA-SPIROSTAN-3-BETA-OL-3-O-BET	C33H54O8	InChIKey=ZNEIIZNXGCIAAL-TXUJEBAWSA-N	15579
4,4a-dihydroxy-dihydro-dibenzo-<I>p</I>-dioxin	CPD-925	C12H10O4	InChIKey=IYMGVVSBFUUUDL-CMPLNLGQSA-N	
<i>N</i>-palmitoyl-L-histidine	CPD-25806	C22H38N3O3	InChIKey=XHUZOURAPKCNRA-FQEVSTJZSA-M	
methyl D-lactate	CPD-3621	C4H8O3	InChIKey=LPEKGGXMPWTOCB-GSVOUGTGSA-N	74611
streptomycin 6-phosphate	CPD-529	C21H41N7O15P	InChIKey=BWVNOTYEDMJNDA-TWBNDLJKSA-O	57787
dibenzo-<I>p</I>-dioxin	CPD-922	C12H8O2	InChIKey=NFBOHOGPQUYFRF-UHFFFAOYSA-N	28891
<i>N</i>-oleoyl-L-glutamine	CPD-25787	C23H41N2O4	InChIKey=ZHVSXWCIYWYBQP-QJRAZLAKSA-M	
barbiturate	BARBITURATE	C4H2N2O3	InChIKey=GVLZYMDNTPNTLV-UHFFFAOYSA-M	57718
5-pentadecatrienyl resorcinol-3-methyl ether	CPD-10257	C22H32O2	InChIKey=GKGSHNPKQBMHTD-AFJQJTPPSA-N	52681
<i>N</i>-palmitoyl-L-leucine	CPD-25766	C22H42NO3	InChIKey=UEWVQOCQZFYTBW-FQEVSTJZSA-M	
spongiadioxin A	CPD-20602	C12H4O3Br4	InChIKey=SSCRQJOLSHUSSG-UHFFFAOYSA-N	
mercapto-2-propanol	CPD-7678	C3H8OS	InChIKey=FETFXNFGOYOOSP-UHFFFAOYSA-N	
<i>N</i>-hexanoyl-D,L-homoserine lactone	CPD-9029	C10H17NO3	InChIKey=ZJFKKPDLNLCPNP-UHFFFAOYSA-N	181568
(4<i>R</i>)-(-)-ipsdienol	CPD-8835	C10H16O	InChIKey=NHMKYUHMPXBMFI-JTQLQIEISA-N	84970
<i>N</i>-palmitoyl-L-aspartate	CPD-25803	C20H35NO5	InChIKey=ZYJZBFYRVKLOAA-KRWDZBQOSA-L	
2-benzoyloxy-3-butenylglucosinolate	CPD-12421	C18H22NO11S2	InChIKey=NCAVLZAQUKCVIQ-VRZAYVRFSA-M	
(+)-&tau;-muurolol	CPD-13867	C15H26O	InChIKey=LHYHMMRYTDARSZ-KBUPBQIOSA-N	63704
<i>N</i>-oleoyl-L-valine	CPD-25762	C23H42NO3	InChIKey=LRQPUGFHAACUMH-GJCOWUBNSA-M	
spongiadioxin B	CPD-20604	C12H4O3Br4	InChIKey=OKZDDAYLOUDZAH-UHFFFAOYSA-N	
5'-[(3-aminopropyl)-amino]-5'-deoxyadenosine	CPD0-1402	C13H23N7O3	InChIKey=MSHFOWYMHIZSJV-QYVSTXNMSA-P	
2-dimethylbutanoyl-<i>S</i>-methyl-mercaptopropanoate	CPD0-1720	C10H18O3S	InChIKey=OSAXTZWRAGDRFI-UHFFFAOYSA-N	
formyl-L-isoglutamine	FORMYL-ISOGLUTAMINE	C6H9N2O4	InChIKey=WLTXUKAQFBTJKS-BYPYZUCNSA-M	80654
spongiadioxin C	CPD-20564	C12H5O3Br3	InChIKey=XZPITRJUKODSMI-UHFFFAOYSA-N	
tylactone	CPD-15948	C23H38O5	InChIKey=YJSXTLYNFBFHAT-HJOMEYPASA-N	29700
3-hydroxy-<i>L</i>-homotyrosine	CPD-17730	C10H13NO4	InChIKey=IRLFMJGPFKJRHJ-IUCAKERBSA-N	
(+)-<i>trans</i>-verbenol	CPD-8833	C10H16O	InChIKey=WONIGEXYPVIKFS-VGMNWLOBSA-N	
<i>N</i>-palmitoyl-L-threonine	CPD-25800	C20H38NO4	InChIKey=JOIXCEREMHWULC-MJGOQNOKSA-M	
3-oxo-5,6-didehydrosuberyl-CoA semialdehyde	CPDMETA-13650	C29H40N7O19P3S	InChIKey=XYGQIZWAZKPGNV-ZVEAYUPDSA-J	
2-fluorocitrate	FLUORO-CITRATE	C6H4O7F	InChIKey=DGXLYHAWEBCTRU-UHFFFAOYSA-K	
<i>N</i>-palmitoyl-L-serine	CPD-25813	C19H36NO4	InChIKey=BFVRFWIQTACAPT-KRWDZBQOSA-M	
1,3,8-tribromo-6-methoxyoxanthrene	CPD-20565	C13H7O3Br3	InChIKey=ISKZNWAHDOTSGW-UHFFFAOYSA-N	
2-amino-5-chlorophenyl carbonate	CPD-19391	C7H5NO3Cl	InChIKey=LHZRHABMHMXATL-UHFFFAOYSA-M	
pseudolaric acid C	CPD-20248	C21H25O7	InChIKey=RBXVTEUAOTYIME-GPGKBOPFSA-M	
<i>N</i>-oleoyl-L-threonine	CPD-25794	C22H40NO4	InChIKey=NEMXEZCVUJCXDQ-PCXBEVNGSA-M	
butanoylsulfenate	CPD-17442	C4H10OS	InChIKey=YAUVYHWOZLWWGU-UHFFFAOYSA-N	
<i>O</i>-phosphoethanolamine	PHOSPHORYL-ETHANOLAMINE	C2H7NO4P	InChIKey=SUHOOTKUPISOBE-UHFFFAOYSA-M	58190
UDP-<i>N</i>-acetyl-D-galactosamine 4,6-bissulfate	UDP-ACETYL-ETCETERA-BISSULFATE	C17H23N3O23P2S2	InChIKey=LPADIYKTUSHKJJ-RXKPRGQLSA-J	57806
<i>N</i>-oleoyl-L-proline	CPD-24724	C23H40NO3	InChIKey=WQCMZYCKACKLDL-YUQDSPFASA-M	165546
phenylmethanesulfenate	CPD-12491	C7H8OS	InChIKey=PWRKXLBZLTYQGN-UHFFFAOYSA-N	
(5S,6E,8Z,11Z,13E,15R)-5-hydroperoxy-15-hydroxyicosa-6,8,11,13-tetraenoate	CPD-22261	C20H31O5	InChIKey=AZHSPOPOMNJPFD-YLMOWEDUSA-M	
farnesylfarnesylgeraniol	FARNESYLFARNESYLGERANIOL	C40H66O	InChIKey=BZORESSIXXHLNB-DJMILUHSSA-N	147320
<i>N</i>-palmitoyl-L-proline	CPD-25810	C21H38NO3	InChIKey=XOAIXMQPJQVGRV-IBGZPJMESA-M	
<i>N</i>-acetyl-<i>S</i>-hydroxy-L-cysteine	CPD-26167	C5H8NO4S	InChIKey=UDRNLIPAONYIBJ-BYPYZUCNSA-M	
1-(5-phosphoribosyl)imidazole-4-acetate	1-5-PHOSPHORIBOSYLIMIDAZOLE-4-ACETATE	C10H12N2O9P	InChIKey=RDQUQBHPMYFYMX-PEBGCTIMSA-K	16805
sesterfisherate	CPD-20217	C25H39O3	InChIKey=SLCDJJDPKICHGM-ZIFIXUEUSA-M	
<i>N</i>-oleoyl-L-methionine	CPD-25791	C23H42NO3S	InChIKey=ATFITIQQSWCPIQ-XPTLAUCJSA-M	
2-(hydroxysulfanyl)ethanol	CPD-17424	C2H6O2S	InChIKey=BYMHPNQECCIGDF-UHFFFAOYSA-N	
erythrohydrobupropion	CPD-3482	C13H21NOCl	InChIKey=NDPTTXIBLSWNSF-CABZTGNLSA-O	165201
tropine	TROPINE	C8H16NO	InChIKey=CYHOMWAPJJPNMW-JIGDXULJSA-O	57554
<i>N</i>-palmitoyl-L-lysine	CPD-25807	C22H44N2O3	InChIKey=OLDGKSQBWGEFNM-FQEVSTJZSA-N	
methanesulfenate	CPD-17426	CH4OS	InChIKey=VLGWYKOEXANHJT-UHFFFAOYSA-N	48272
aminohydroquinone	AMINOHYDROQUINONE	C6H7NO2	InChIKey=SBXKRBZKPQBLOD-UHFFFAOYSA-N	13769
3-amino-2,4-dihydroxybenzoylsulfanide	CPD-23569	C7H6NO3S	InChIKey=OOWSAVNPGLYCTL-UHFFFAOYSA-M	
<i>N</i>-oleoyl-L-glutamate	CPD-25788	C23H39NO5	InChIKey=UUFVSGRELDGPGL-QJRAZLAKSA-L	
ethylsulfenate	CPD-9311	C2H6OS	InChIKey=HRKZEUPYFXLVQW-UHFFFAOYSA-N	
coenzyme &alpha;-F<sub>420</sub>-3	CPD-7613	C34H37N6O21P	InChIKey=GJCOAZKRAIWVST-LROHGRLLSA-H	
<i>N</i>-adenylylanthranilate	CPD-486	C17H17N6O8P	InChIKey=VRPRDYILQKJWNN-XNIJJKJLSA-L	58156
(4<i>S</i>)-(+)-ipsdienol	CPD-8834	C10H16O	InChIKey=NHMKYUHMPXBMFI-SNVBAGLBSA-N	
<i>N</i>-palmitoyl-L-valine	CPD-25767	C21H40NO3	InChIKey=OGLNTVZUARMGNY-FQEVSTJZSA-M	
&alpha;-fenchocamphorone	CPD-12224	C9H14O	InChIKey=DOCLMTQMWGMALI-UHFFFAOYSA-N	
20-hydroxy-3-oxopregn-4-en-21-al	20-HYDROXY-3-OXOPREGN-4-EN-21-AL	C21H30O3	InChIKey=HIXLXYQKUSOMDM-FYGMKCHKSA-N	15690
<i>N</i>-palmitoyl-L-glutamine	CPD-25804	C21H39N2O4	InChIKey=KCXYSRAVPMMHKU-SFHVURJKSA-M	
firefly oxyluciferin-dioxetanone	CPD-20239	C11H6N2O4S2	InChIKey=SGSVGKXZUSJOKI-UHFFFAOYSA-N	
1-phospho-N-acetylmuramoyl-L-alanyl-D-glutamate	CPD0-1330	C19H28N3O15P	InChIKey=SDYMUBKMNQXUQU-ZUYCGGNHSA-J	
(<i>R</i>,<i>R</i>)-chrysanthemate	CPD-13662	C10H15O2	InChIKey=XLOPRKKSAJMMEW-SFYZADRCSA-M	143900
<i>N</i>-oleoyl-L-asparagine	CPD-25785	C22H39N2O4	InChIKey=MZSJQKKCFOSWBW-VJIACCKLSA-M	
<i>Cypridina</i> oxyluciferin	OXIDIZED-CYPRIDINA-LUCIFERIN	C21H28N7O	InChIKey=PSYJEEMZZIZTSR-ZDUSSCGKSA-O	58059
(<i>Z</i>)-N,N'-(but-2-ene-2,3-diyl)diacetamide	CPD-15902	C8H14N2O2	InChIKey=FTTNHUULIMOCKS-WAYWQWQTSA-N	
2-deoxystreptamine	CPD-10151	C6H16N2O3	InChIKey=DTFAJAKTSMLKAT-JDCCYXBGSA-P	65069
<i>N</i>-oleoyl-L-arginine	CPD-25763	C24H46N4O3	InChIKey=YZYYKAWTXPUEGT-YUQDSPFASA-N	
ground state firefly oxyluciferin	CPD-20240	C10H6N2O2S2	InChIKey=JJVOROULKOMTKG-UHFFFAOYSA-N	
19-oxoandrostenedione	CPD66-25	C19H24O3	InChIKey=XRCFMDPVHKVRDJ-BGJMDTOESA-N	799
fensulfothion	CPD-8966	C11H17O4PS2	InChIKey=XDNBJTQLKCIJBV-UHFFFAOYSA-N	34760
L-2-acetamido-6-oxoheptanedioate	N-ACETYL-L-2-AMINO-6-OXO-PIMELATE	C9H11NO6	InChIKey=RVHKMLVNOXVQRH-LURJTMIESA-L	58117
<i>Latia</i> oxyluciferin	OXIDIZED-LATIA-LUCIFERIN	C13H22O	InChIKey=QJJDNZGPQDGNDX-UHFFFAOYSA-N	18015
6-[3-hydroxy-2-(3,5,7-trioxononanoyl)phenyl]-3,5-dioxohexanoate	CPD-19288	C21H21O9	InChIKey=FEZACAATIBBDPS-UHFFFAOYSA-M	
butyrylcholine	CPD0-1675	C9H20NO2	InChIKey=YRIBGSCJIMXMPJ-UHFFFAOYSA-N	327449
<i>N</i>-palmitoyl-L-alanine	CPD-25801	C19H36NO3	InChIKey=NRBFOSKZAWRBJI-KRWDZBQOSA-M	
excited state fungal oxyluciferin	CPD-20573	C12H9O6	InChIKey=IQCMUVAMSBTUJE-KFSGTSSPSA-M	
2D-5-<i>O</i>-methyl-2,3,5/4,6-pentahydroxycyclohexanone	PENTAHYDROXYCYCLOHEXANONE	C7H12O6	InChIKey=VKPFEZAOAAZDPP-QCNSFQOVSA-N	16058
2,4-diaminoanisole	CPD-17563	C7H12N2O	InChIKey=BAHPQISAXRFLCL-UHFFFAOYSA-P	82309
<i>N</i>-formyl-L-aspartate	CPD-583	C5H5NO5	InChIKey=MQUUQXIFCBBFDP-VKHMYHEASA-L	16923
excited state firefly oxyluciferin	OXIDIZED-PHOTINUS-LUCIFERIN	C10H6N2O2S2	InChIKey=JJVOROULKOMTKG-UHFFFAOYSA-N	57900
13&alpha;-hydroxymultiflorine	CPD-21988	C15H22N2O2	InChIKey=WADQXAAHRPKPQW-XIPKSVHMSA-N	
<i>ent</i>-kaurenal	ENT-KAUR-16-EN-19-AL	C20H30O	InChIKey=JCAVDWHQNFTFBW-XRNRSJMDSA-N	29609
<i>N</i>-oleoyl-L-serine	CPD-25795	C21H38NO4	InChIKey=MBDKGXAMSZIDKF-VJIACCKLSA-M	
ground state fungal oxyluciferin	CPD-20618	C12H9O6	InChIKey=IQCMUVAMSBTUJE-KFSGTSSPSA-M	
5-(3-pyridyl)-tetrahydro-furan-2-one	CPD-3195	C9H9NO2	InChIKey=TUQJJRAPYHGKLP-UHFFFAOYSA-N	
sMARt-420	CPD-20006	C17H19N2O2F3	InChIKey=IBVDSAFESRHIBV-UHFFFAOYSA-N	
(+)-<i>cis</i>-verbenol	CPD-8832	C10H16O	InChIKey=WONIGEXYPVIKFS-YIZRAAEISA-N	
<i>N</i>-pyruvoyl-L-glutamate	CPD-24913	C8H9NO6	InChIKey=JHLSCKRPFIRSSX-YFKPBYRVSA-L	
17-&alpha;-(<i>N</i>-acetyl-&alpha;-D-glucosaminyl)estradiol 3-D-glucuronoside	ALPHA-N-ACETYL-ETCETERA-ESTRADIOL-GLUCUR	C32H44NO13	InChIKey=BHYDXVJSMVVTCR-AONGSCPPSA-M	73201
thiamine phosphate	THIAMINE-P	C12H16N4O4PS	InChIKey=HZSAJDVWZRBGIF-UHFFFAOYSA-M	37575
<i>N</i>-palmitoyl-L-tryptophan	CPD-25811	C27H41N2O3	InChIKey=YFPVRCYDDXYINM-VWLOTQADSA-M	
<i>Latia</i> luciferin	LATIA-LUCIFERIN	C15H24O2	InChIKey=MJURCEOLOMHLAX-ZRDIBKRKSA-N	17269
<i>p</i>-mercuribenzoate	CPD-7388	C7H4O2Hg	InChIKey=FVFZSVRSDNUCGG-UHFFFAOYSA-M	20435
ravenelin	CPD-23471	C14H10O5	InChIKey=GFYRPPGRPOFGOW-UHFFFAOYSA-N	
<i>N</i>-oleoyl-L-phenylalanine	CPD-25792	C27H42NO3	InChIKey=UWKNPULCJWBBDD-JRUKXMRZSA-M	
4-[(E)-2-(3,4-dihydroxyphenyl)ethenyl]-1,7-dihydroxy-2,3,5-trioxabicyclo[2.2.2]oct-7-en-6-one	CPD-20574	C13H9O8	InChIKey=YKRIHJNBOCNWST-ONEGZZNKSA-M	190291
6-(2-amino-2-carboxylatoethyl)-7-hydroxy-8-oxo-1,2,3,4,7,8-hexahydroquinoline-2,4-dicarboxylate	CPD-12138	C14H14N2O8	InChIKey=ARIITYRKDPOGKE-UHFFFAOYSA-L	
8-<i>O</i>-methyldihydrosterigmatocystin	CPD-4588	C19H16O6	InChIKey=WSBZDTWHZJNGKQ-ZRNGKTOUSA-N	72678
<i>N</i>-palmitoyl-L-methionine	CPD-25808	C21H40NO3S	InChIKey=FCVASHHBGGKTGT-IBGZPJMESA-M	
L-firefly luciferin	CPD-20206	C11H7N2O3S2	InChIKey=BJGNCJDXODQBOB-ZETCQYMHSA-M	138329
D,L-cyclohexanephosphinothricin	CPD0-1246	C8H15NO4P	InChIKey=ZAIBDODFHKWMIG-UHFFFAOYSA-M	
2-keto-L-gulonolactone	2-KETO-L-GULONOLACTONE	C6H8O6	InChIKey=KRGQEOSDQHTZMX-UHFFFAOYSA-N	125365
<i>N</i>-oleoyl-L-histidine	CPD-25789	C24H40N3O3	InChIKey=QJFAABXOMYWNGP-DYYZXQNHSA-M	
D-firefly luciferin	PHOTINUS-LUCIFERIN	C11H7N2O3S2	InChIKey=BJGNCJDXODQBOB-SSDOTTSWSA-M	58038
oxythiamine	CPD-15776	C12H16N3O2S	InChIKey=SRDGSXVLAVRBLU-UHFFFAOYSA-O	78249
3'-amino-3'-deoxyATP	CPD-10100	C10H14N6O12P3	InChIKey=FVGNJWDZZCJDML-QYYRPYCUSA-K	
<i>N</i>-[(3-palmitoyloxy)-palmitoyl]glycine	CPD-22495	C34H64NO5	InChIKey=GFABHZOVNJOLFL-UHFFFAOYSA-M	
3-hydroxybisnoryangonin	CPD-20619	C13H9O5	InChIKey=WRHMXGUVFLEOJF-ZZXKWVIFSA-M	
1-(2-acetamido-2-deoxy-&alpha;-D-glucopyranosyl)-1D-myo-inositol	CPD1G-1	C14H25NO11	InChIKey=MRKTUVZZZRUSQR-JPUVNKLSSA-N	52442
but-3-en-2-one	CPD-8847	C4H6O	InChIKey=FUSUHKVFWTUUBE-UHFFFAOYSA-N	48058
<i>N</i>-palmitoyl-L-glutamate	CPD-25805	C21H37NO5	InChIKey=KMAOMYOPEIRFLB-SFHVURJKSA-L	
firefly dehydroluciferin	CPD-20212	C11H5N2O3S2	InChIKey=CYCGRDQQIOGCKX-UHFFFAOYSA-M	
(8<i>S</i>)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate	CPD-19179	C10H12N5O14P3	InChIKey=HRBCPXBJAWPPIC-FLISOKMQSA-J	131766
N-&alpha;-acetyl-DL-norvaline	CPD0-1641	C7H13NO3	InChIKey=BSYFPUSAWVWWDG-UHFFFAOYSA-N	138528
<i>N</i>-oleoyl-L-aspartate	CPD-25786	C22H37NO5	InChIKey=XFBKKGFUMFHHHK-VJIACCKLSA-L	
<i>Cypridina</i> luciferin	CYPRIDINA-LUCIFERIN	C22H28N7O	InChIKey=ZWPWSXGBDMGKKS-ZDUSSCGKSA-O	58006
oxalosuccinate	OXALO-SUCCINATE	C6H3O7	InChIKey=UFSCUAXLTRFIDC-UHFFFAOYSA-K	58931
1,2-dioctanoylglycerol	CPD-13470	C19H36O5	InChIKey=ZQBULZYTDGUSSK-KRWDZBQOSA-N	76979
<i>N</i>-palmitoyl-L-arginine	CPD-25764	C22H44N4O3	InChIKey=DENIQPHQUIGDJZ-IBGZPJMESA-N	
3-hydroxyhispidin	CPD-20572	C13H9O6	InChIKey=KBZZJHPTCGVLDQ-HNQUOIGGSA-M	190289
5-(isoquinolin-7-yl)-6-methyl-19-oxapentacyclo[14.2.1.0<sup>1</sup>,<sup>9</sup>.0<sup>2</sup>,<sup>6</sup>.0<sup>11</sup>,<sup>16</sup>]nonadeca-8,10-dien-14-ol	CPD-21847	C28H31NO2	InChIKey=MQTJIRVJLIFLLF-UHFFFAOYSA-N	
tridecane-3,4-dione	CPD-17489	C13H24O2	InChIKey=DPYKXOIMVHNHBJ-UHFFFAOYSA-N	
<i>N</i>-palmitoyl-L-asparagine	CPD-25802	C20H37N2O4	InChIKey=FTMCGBHTBKAWHW-KRWDZBQOSA-M	
2-maleylacetate	CPD-294	C6H4O5	InChIKey=SOXXPQLIZIPMIZ-UPHRSURJSA-L	16468
<i>all-trans</i>-retinol	CPD-13524	C20H30O	InChIKey=FPIPGXGPPPQFEQ-OVSJKPMPSA-N	17336
dithioerythritol	DITHIOERYTHRITOL	C4H10O2S2	InChIKey=VHJLVAABSRFDPM-ZXZARUISSA-N	17456
<i>N</i>-oleoyl-L-alanine	CPD-25761	C21H38NO3	InChIKey=CHQZBIVWDKADIA-GDWUOILNSA-M	
ADT	ADT	C4H9N2S	InChIKey=PQXQEOIFIUJLIE-UHFFFAOYSA-O	
coelimycin P1	CPD-19921	C17H20N2O4S	InChIKey=RHGMVWUZXGSXCT-IAGKGVPHSA-N	142547
<i>N</i>-formyl-L-glutamate	CPD-600	C6H7NO5	InChIKey=ADZLWSMFHHHOBV-BYPYZUCNSA-L	17684
oligosaccharide with &beta;-D-xylopyranosyl-(1->4)-&alpha;-D-xylopyranose at the reducing end	CPD-7267			
11-<i>cis</i>-retinol	CPD-882	C20H30O	InChIKey=FPIPGXGPPPQFEQ-IOUUIBBYSA-N	16302
L-tartrate	TARTRATE	C4H4O6	InChIKey=FEWJPZIEWOKRBE-JCYAYHJZSA-L	30924
<i>N</i>-oleoyl-L-tryptophan	CPD-25796	C29H43N2O3	InChIKey=XAKJNQLDKZLAKM-ZDQMOETHSA-M	
<i>N</i>-hydroxycadaverine	CPD-11953	C5H15N2O	InChIKey=LXKZVBUBAAGCLE-UHFFFAOYSA-O	50440
3-hydroxy-2-methylpyridine-4,5-dicarboxylate	CPD-234	C8H5NO5	InChIKey=LVJJEIJOKPHQOU-UHFFFAOYSA-L	77620
<i>N</i>-palmitoyl-L-tyrosine	CPD-25812	C25H40NO4	InChIKey=IPAZGTSTZYXZAT-QHCPKHFHSA-M	
3,5-<i>cis</i>-dodecadienoyl-CoA	CPD0-1160	C33H50N7O17P3S	InChIKey=ARQUZFJQPYWSSL-NKZMEAHYSA-J	
9-<i>cis</i>-retinol	CPD-13538	C20H30O	InChIKey=FPIPGXGPPPQFEQ-BOOMUCAASA-N	78272
1-naphthalenesulfonamide, n-(6-aminohexyl)-5- chloro-	CPD-4507	C16H22N2O2SCl	InChIKey=IDEHCMNLNCJQST-UHFFFAOYSA-O	47738
<i>N</i>-oleoyl-L-tyrosine	CPD-25793	C27H42NO4	InChIKey=UOIBFJBJAWHQNM-JRUKXMRZSA-M	
D-galacto-hexodialdose	CPD-155	C6H10O6	InChIKey=VYPPEYAOCURAAE-GUCUJZIJSA-N	16222
2-furoate	2-FUROATE	C5H3O3	InChIKey=SMNDYUVBFMFKNZ-UHFFFAOYSA-M	16739
<i>N</i>-palmitoyl-L-phenylalanine	CPD-25809	C25H40NO3	InChIKey=BAHIJPSQSKWCJX-QHCPKHFHSA-M	
S-succinyl-dihydrolipoamide	CPD0-341	C12H20NO4S2	InChIKey=RJCJWONCSKSHES-VIFPVBQESA-M	17432
13-<i>cis</i>-retinol	CPD-13550	C20H30O	InChIKey=FPIPGXGPPPQFEQ-HWCYFHEPSA-N	45479
<i>N</i>6,<i>N</i>6,<i>O</i>-tridemethylpuromycin	CPD-10080	C19H24N7O5	InChIKey=GCCJIIJWAJOTAC-YCOMJZELSA-O	
<i>N</i>-oleoyl-L-lysine	CPD-25790	C24H46N2O3	InChIKey=JJUHWJQHBPFMJW-DYYZXQNHSA-N	
<i>tert</i>-butyl formate	CPD-19044	C5H10O2	InChIKey=RUPAXCPQAAOIPB-UHFFFAOYSA-N	
(2Z,4E)-2-hydroxy-5-methyl-6-oxohexa-2,4-dienoate	CPD-8781	C7H7O4	InChIKey=ADNFTGVUUFRKSK-JGJYBARTSA-M	142983
<i>N</i>-oleoyl-L-leucine	CPD-24663	C24H44NO3	InChIKey=UMOAAMQGRRCHPA-GJCOWUBNSA-M	134035
nitrapyrin	NITRAPYRIN	C6H3NCl4	InChIKey=DCUJJWWUNKIJPH-UHFFFAOYSA-N	81935
<i>all-trans</i>-3,4-didehydroretinol	CPD-20073	C20H28O	InChIKey=XWCYDHJOKKGVHC-OVSJKPMPSA-N	132246
6-azauridine diphosphate	CPD0-1601	C8H10N3O12P2	InChIKey=KVJXZDYOBONHQV-SHUUEZRQSA-K	
4-amino-4-deoxyprephenate	CPD-21782	C10H10NO5	InChIKey=OJJQTAMHYLSXHT-XGAOUMNUSA-M	143070
1,2-epoxy phytoene	CPD-13153	C40H64O	InChIKey=BCPVRLMAESAYCE-PTJVDYMASA-N	
nicotine-glucuronide	CPD-2744	C16H23N2O6	InChIKey=SAWAIULJDYFLPD-SOAFEQHCSA-O	63860
3-oxo-3-(1H-pyrrol-2-yl)propanoate	CPD-17010	C7H6NO3	InChIKey=RKRGLNZQDFDZMF-UHFFFAOYSA-M	
8-thio-octanoate	8-THIO-OCTANOATE	C8H15O2S	InChIKey=FYEMIKRWWMYBFG-UHFFFAOYSA-M	
1-deoxy-L-glycero-tetrulose 4-phosphate	DIHYDROXY-BUTANONE-P	C4H7O6P	InChIKey=OKYHYXLCTGGOLM-SCSAIBSYSA-L	50606
<i>N</i><sup>&omega;</sup>-phosphocreatine	CREATINE-P	C4H8N3O5P	InChIKey=DRBBFCLWYRJSJZ-UHFFFAOYSA-L	58092
8-<i>O</i>-methylsterigmatocystin	CPD-7157	C19H14O6	InChIKey=JKUJKKGMOZDDJV-ZRNGKTOUSA-N	18171
shikimate	SHIKIMATE	C7H9O5	InChIKey=JXOHGGNKMLTUBP-HSUXUTPPSA-M	36208
<i>N</i>-carbamoylsarcosine	CARBAMOYL-SARCOSINE	C4H7N2O3	InChIKey=SREKYKXYSQMOIB-UHFFFAOYSA-M	57490
quisqualate	CPD-11771	C5H7N3O5	InChIKey=ASNFTDCKZKHJSW-UHFFFAOYSA-N	8734
(2Z,4Z)-2-chloro-5-hydroxyhexa-2,4-dienedioate	CPD-19780	C6H3O5Cl	InChIKey=NQNIOZLUWJONON-CCAGOZQPSA-L	
creatine	CREATINE	C4H9N3O2	InChIKey=CVSVTCORWBXHQV-UHFFFAOYSA-N	57947
2-<I>O</I>-(6-phospho-&alpha;-D-mannosyl)-D-glycerate	CPD0-1063	C9H14O12P	InChIKey=BOLXAGHGKNGVBE-MTXRGOKVSA-K	60331
galactoflavin	CPD-22503	C18H21N4O7	InChIKey=RPADDAUXKBBASM-MXYBEHONSA-M	
4-(propan-2-yl)aniline	CPD-23267	C9H13N	InChIKey=LRTFPLFDLJYEKT-UHFFFAOYSA-N	43405
cyanidin 3-<i>O</i>-[6-<i>O</i>-(4-<i>O</i>-&beta;-D-glucosyl-<i>p</i>-coumaroyl)-2-<i>O</i>-(&beta;-D-xylosyl)-&beta;-D-glucosyl]-5-<i>O</i>-(6-<i>O</i>-malonyl-&beta;-D-glucoside)	CPD-15234	C50H55O30	InChIKey=NXTHTMNXJOEVLR-RBRVVFPSSA-M	72650
pinosylvin	CPD-438	C14H12O2	InChIKey=YCVPRTHEGLPYPB-VOTSOKGWSA-N	17323
(S)-2-O-sulfonatolactate	CPD-542	C3H4O6S	InChIKey=CSRZVBCXQYEYKY-REOHCLBHSA-L	61287
feruloyl amide	CPD0-2690			
3,6-dihydronicotinate	CPD-14074	C6H6NO2	InChIKey=JITCDRVJVQGRRF-UHFFFAOYSA-M	80653
2-(&beta;-D-glucosyl)-sn-glycerol 3-phosphate	2-BETA-D-GLUCOSYL-SN-GLYCEROL-3-PHOSPH	C9H17O11P	InChIKey=PLJAVYDLNJODGD-VMQOHUEUSA-L	57874
